0,1,2,3,4,5,6
111,"马克思主义/思想
政治教育","数智时代文化虚无主义对大学生意识形态安全的影响及
智能治理研究",青年基金项目,25YJC710018,江亲祥,四川外国语大学
112,"马克思主义/思想
政治教育","大学生网络道德失范行为的协同治理研究——基于数字
时代高校思政教育的创新实践",规划基金项目,25YJA710012,高飞,宿迁学院
113,"马克思主义/思想
政治教育","数智时代历史虚无主义对青年主流意识形态认同的影响
及对策研究",青年基金项目,25YJC710087,张蕊,太原理工大学
114,"马克思主义/思想
政治教育","数智社会中AI伴侣诱发青年意识形态风险的机制及防范
研究",青年基金项目,25YJC710050,孙文康,太原师范学院
115,"马克思主义/思想
政治教育",数字时代青年群体文化主体性消解风险及建构策略研究,规划基金项目,25YJA710026,李阎,唐山师范学院
116,"马克思主义/思想
政治教育","财经类高校“四链双螺旋”思政课程与课程思政协同育
人机制研究",规划基金项目,25YJA710049,王楠,天津财经大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
117,"马克思主义/思想
政治教育",教育强国视域下思政引领力的理论内涵与提升机制研究,青年基金项目,25YJC710032,刘辉,天津大学
118,"马克思主义/思想
政治教育",红色文化传承的代际差异及其弥合路径研究,青年基金项目,25YJC710026,梁丹丹,天津工业大学
119,"马克思主义/思想
政治教育",习近平文化思想视域下中华传统美德现代转化研究,规划基金项目,25YJA710057,辛晓霞,天津理工大学
120,"马克思主义/思想
政治教育",数字思政风险的生成机理与防范策略研究,青年基金项目,25YJC710022,李娜,天津理工大学
121,"马克思主义/思想
政治教育","生成式人工智能赋能高校思政引领力建设的逻辑机理与
实践策略研究",青年基金项目,25YJC710081,张纯刚,天津理工大学
122,"马克思主义/思想
政治教育",新时代中国共产党基层组织组织力提升研究,规划基金项目,25YJA710054,王悦,天津仁爱学院
123,"马克思主义/思想
政治教育","中国共产党成立以来英模人物的历史演进规律及培育路
径研究",青年基金项目,25YJC710047,沈元军,天津市职业大学
124,"马克思主义/思想
政治教育",智能化网络谣言的意识形态风险及其整体智治研究,规划基金项目,25YJA710070,赵癸萍,无锡职业技术学院
125,"马克思主义/思想
政治教育",越南政治革新新进展及其对中越关系的影响研究,青年基金项目,25YJC710055,王道征,武汉大学
126,"马克思主义/思想
政治教育",推进大中小学思想政治教育一体化机制建设研究,规划基金项目,25YJA710041,邵献平,武汉东湖学院
